2020-02-12 10:40:57.676 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.Comment matches criteria [is assignable to Object]
2020-02-12 10:40:57.677 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.CommentExample$Criteria matches criteria [is assignable to Object]
2020-02-12 10:40:57.679 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.CommentExample$Criterion matches criteria [is assignable to Object]
2020-02-12 10:40:57.682 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.CommentExample$GeneratedCriteria matches criteria [is assignable to Object]
2020-02-12 10:40:57.682 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.CommentExample matches criteria [is assignable to Object]
2020-02-12 10:40:57.683 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.Notification matches criteria [is assignable to Object]
2020-02-12 10:40:57.684 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.NotificationExample$Criteria matches criteria [is assignable to Object]
2020-02-12 10:40:57.686 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.NotificationExample$Criterion matches criteria [is assignable to Object]
2020-02-12 10:40:57.687 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.NotificationExample$GeneratedCriteria matches criteria [is assignable to Object]
2020-02-12 10:40:57.688 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.NotificationExample matches criteria [is assignable to Object]
2020-02-12 10:40:57.688 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.Question matches criteria [is assignable to Object]
2020-02-12 10:40:57.689 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.QuestionExample$Criteria matches criteria [is assignable to Object]
2020-02-12 10:40:57.691 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.QuestionExample$Criterion matches criteria [is assignable to Object]
2020-02-12 10:40:57.692 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.QuestionExample$GeneratedCriteria matches criteria [is assignable to Object]
2020-02-12 10:40:57.693 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.pojo.QuestionExample matches criteria [is assignable to Object]
